Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-04-22,ANTHROPIC,AI Services,502.42,250.00,2025-05.csv,REIMBURSED
2025-04-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-05.csv,REIMBURSED
2025-04-24,ANTHROPIC,AI Services,502.77,250.00,2025-05.csv,REIMBURSED
2025-04-28,CLAUDE.AI SUBSCRIPTION,AI Services,402.01,20.00,2025-05.csv,REIMBURSED
2025-04-30,GITHUB INC.,Developer Tools,281.94,14.00,2025-05.csv,REIMBURSED
2025-05-02,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,167.04,9.38,2025-06.csv,REIMBURSED
2025-05-04,OPENAI *CHATGPT SUBSCR,AI Services,4037.54,200.00,2025-06.csv,REIMBURSED
2025-05-05,ANTHROPIC,AI Services,1008.33,250.00,2025-06.csv,REIMBURSED
2025-05-13,OPENAI,AI Services,399.24,22.42,2025-06.csv,REIMBURSED
2025-05-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-06.csv,REIMBURSED
2025-05-28,CLAUDE.AI SUBSCRIPTION,AI Services,398.47,20.00,2025-06.csv,REIMBURSED
2025-05-30,GITHUB INC.,Developer Tools,278.72,14.00,2025-06.csv,REIMBURSED
2025-06-01,AWS EMEA,Cloud/Infrastructure,111882.42,5877.22,2025-07.csv,REIMBURSED
2025-06-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,167.04,9.38,2025-07.csv,REIMBURSED
2025-06-04,OPENAI *CHATGPT SUBSCR,AI Services,3942.28,200.00,2025-07.csv,REIMBURSED
2025-06-16,ANTHROPIC,AI Services,4854.71,250.00,2025-07.csv,REIMBURSED
2025-06-22,ANTHROPIC,AI Services,4915.68,250.00,2025-07.csv,REIMBURSED
2025-06-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-07.csv,REIMBURSED
2025-06-28,CLAUDE.AI SUBSCRIPTION,AI Services,387.14,20.00,2025-07.csv,REIMBURSED
2025-06-30,GITHUB INC.,Developer Tools,270.77,14.00,2025-07.csv,REIMBURSED
2025-07-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,167.04,9.38,2025-08.csv,REIMBURSED
2025-07-03,ANTHROPIC,AI Services,4792.29,250.00,2025-08.csv,REIMBURSED
2025-07-04,OPENAI *CHATGPT SUBSCR,AI Services,3827.15,200.00,2025-08.csv,REIMBURSED
2025-07-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-08.csv,REIMBURSED
2025-07-28,CLAUDE.AI SUBSCRIPTION,AI Services,384.64,20.00,2025-08.csv,REIMBURSED
2025-07-30,GITHUB INC.,Developer Tools,270.24,14.00,2025-08.csv,REIMBURSED
2025-07-30,ANTHROPIC,AI Services,4825.87,250.00,2025-08.csv,REIMBURSED
2025-08-01,AWS EMEA,Cloud/Infrastructure,152379.78,7963.05,2025-09.csv,REIMBURSED
2025-08-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,187.69,10.54,2025-09.csv,REIMBURSED
2025-08-04,OPENAI *CHATGPT SUBSCR,AI Services,3877.60,200.00,2025-09.csv,REIMBURSED
2025-08-19,ANTHROPIC,AI Services,4826.43,250.00,2025-09.csv,REIMBURSED
2025-08-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-09.csv,REIMBURSED
2025-08-28,CLAUDE.AI SUBSCRIPTION,AI Services,383.11,20.00,2025-09.csv,REIMBURSED
