Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-08-30,GITHUB INC.,Developer Tools,268.06,14.00,2025-09.csv,REIMBURSED
2025-08-26,ANTHROPIC,AI Services,4797.19,250.00,2025-09.csv,REIMBURSED
2025-09-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,194.88,10.94,2025-10.csv,REIMBURSED
2025-09-02,ANTHROPIC,AI Services,4803.07,250.00,2025-10.csv,REIMBURSED
2025-09-04,OPENAI *CHATGPT SUBSCR,AI Services,3852.83,200.00,2025-10.csv,REIMBURSED
2025-09-05,ANTHROPIC,AI Services,4795.88,250.00,2025-10.csv,REIMBURSED
2025-09-18,ANTHROPIC,AI Services,4714.18,250.00,2025-10.csv,REIMBURSED
2025-09-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-10.csv,REIMBURSED
2025-09-28,CLAUDE.AI SUBSCRIPTION,AI Services,377.57,20.00,2025-10.csv,REIMBURSED
2025-09-30,GITHUB INC.,Developer Tools,263.61,14.00,2025-10.csv,REIMBURSED
2025-10-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,194.88,10.94,2025-11.csv,REIMBURSED
2025-10-04,OPENAI *CHATGPT SUBSCR,AI Services,3777.34,200.00,2025-11.csv,REIMBURSED
2025-10-21,ANTHROPIC,AI Services,4730.67,250.00,2025-11.csv,REIMBURSED
2025-11-01,AWS EMEA,Cloud/Infrastructure,146589.47,7685.32,2025-12.csv,REIMBURSED
2025-11-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,194.88,10.94,2025-12.csv,REIMBURSED
2025-11-04,OPENAI *CHATGPT SUBSCR,AI Services,3823.17,200.00,2025-12.csv,REIMBURSED
2025-11-10,DISCORD NITROYEARLY,Communication,1590.00,89.27,2025-12.csv,REIMBURSED
2025-11-15,BANKLESS,Education/Research,2823.15,150.00,2025-11.csv,REIMBURSED
2025-11-23,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,200.00,11.23,2025-12.csv,REIMBURSED
2025-11-27,ANKR PBC,Cloud/Infrastructure,4756.41,267.04,2025-12.csv,REIMBURSED
2025-11-30,GITHUB INC.,Developer Tools,263.23,14.00,2025-12.csv,REIMBURSED
2025-12-01,PAYU-GOOGLE CLOUD,Cloud/Infrastructure,194.88,10.94,2025-12.csv,REIMBURSED
2025-12-04,OPENAI *CHATGPT SUBSCR,AI Services,3744.29,200.00,2025-12.csv,REIMBURSED
2025-12-19,PIZZA ROMA,Meals,3191.25,179.18,2025-12.csv,REIMBURSED
2025-12-20,ANTHROPIC,AI Services,4623.17,250.00,2025-12.csv,REIMBURSED
