Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Account_Type,Status
2026-01-23,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-01-24,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-01-27,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-01-28,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-01-30,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-02-03,Of,Otros,200.87,11.59,nubank-credit-2026-02.csv,credit,
2026-02-03,Of,Otros,241.25,13.92,nubank-credit-2026-02.csv,credit,
2026-02-04,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-02-06,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
2026-02-16,Of,Otros,99.47,5.79,nubank-credit-2026-02.csv,credit,
2026-02-17,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-02.csv,credit,
