Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-09-22,Mercadopago *Florandr,Hogar,120.00,,nubank-credit-2025-10.pdf,
2025-09-24,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-09-26,Cafeteria Arabica,Restaurante,73.70,,nubank-credit-2025-10.pdf,
2025-09-26,Almanegra Cafe,Restaurante,74.80,,nubank-credit-2025-10.pdf,
2025-09-27,Cafeteria Arabica,Restaurante,73.70,,nubank-credit-2025-10.pdf,
2025-09-27,Gonzalitos Taqueria S,Restaurante,334.80,,nubank-credit-2025-10.pdf,
2025-09-30,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-01,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-03,Of,Otros,212.49,11.59,nubank-credit-2025-10.pdf,
2025-10-03,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-04,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-07,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-08,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-11,Cafeteria Arabica,Restaurante,73.70,,nubank-credit-2025-10.pdf,
2025-10-15,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-16,Of,Otros,106.77,5.79,nubank-credit-2025-10.pdf,
2025-10-17,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-17,Starbucks Montec Wtc,Restaurante,52.00,,nubank-credit-2025-10.pdf,
2025-10-18,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-21,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
2025-10-22,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2025-10.pdf,
