Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Account_Type,Status
2026-01-01,KINGS THEATRE           Brooklyn,,1213.68,65.65,2026-01.csv,credit,
2026-01-01,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,,194.88,,2026-01.csv,credit,
2026-01-01,STARLINK                CIUDAD DE MEXIC,,1305.00,,2026-01.csv,credit,
2026-01-01,THOMPSON BEEKMAN HYATT  NEW YORK,,17162.43,928.34,2026-01.csv,credit,
2026-01-01,TST* EMMY SQUARED - WES NEW YORK,,2192.02,118.57,2026-01.csv,credit,
2026-01-01,UBER,,1275.61,69.00,2026-01.csv,credit,
2026-01-01,UNITED AIRLINES         HOUSTON,,184.87,10.00,2026-01.csv,credit,
2026-01-02,APPLE.COM/BILL          CUPERTINO,,199.00,,2026-01.csv,credit,
2026-01-02,RAPPI*RAPPI MEXICO      MEXICO CITY,,758.90,,2026-01.csv,credit,
2026-01-02,UBER TRIP               HTTPS://HELP.UB,,556.47,,2026-01.csv,credit,
2026-01-02,UBER,,2607.99,141.07,2026-01.csv,credit,
2026-01-02,X CORP. PAID FEATURES   BASTROP,,146.90,8.00,2026-01.csv,credit,
2026-01-02,Of,Otros,208.07,11.59,nubank-credit-2026-01.csv,credit,
2026-01-03,*BODEGADEVICTORIA       CUAUHTEMOC,,692.30,,2026-01.csv,credit,
2026-01-03,AMAZON MX MARKETPLACE*A MEXICO CITY,,619.00,,2026-01.csv,credit,
2026-01-03,AMAZON MX MARKETPLACE*A MEXICO CITY,,1842.54,,2026-01.csv,credit,
2026-01-03,AMAZON MX*PRIME VIDEO C MEXICO CITY,,129.00,,2026-01.csv,credit,
2026-01-03,APPLE.COM/BILL          CUPERTINO,,239.00,,2026-01.csv,credit,
2026-01-03,MERCADOPAGO*FLORESESPAN Coyoac?n,,100.00,,2026-01.csv,credit,
2026-01-03,REST LINDY              MEXICO,,2581.75,,2026-01.csv,credit,
2026-01-03,UBER EATS               HTTPS://HELP.UB,,1042.03,,2026-01.csv,credit,
2026-01-03,Of,Otros,250.58,13.92,nubank-credit-2026-01.csv,credit,
2026-01-04,AMAZON MX MARKETPLACE*A MEXICO CITY,,799.00,,2026-01.csv,credit,
2026-01-04,BLUMON PAY*SERV PARKLAN MIGUEL HIDALGO,,126.50,,2026-01.csv,credit,
2026-01-04,BUNA CAFE RICO LIVER    CIUDAD DE MEX,,350.00,,2026-01.csv,credit,
2026-01-04,CGO AUT TELCEL REGION 8 MERIDA,,2207.78,,2026-01.csv,credit,
2026-01-04,MERCADOPAGO*FIAMBRE     Alvaro Obreg?,,501.58,,2026-01.csv,credit,
2026-01-04,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,,3672.61,200.00,2026-01.csv,credit,
2026-01-04,REST LE BON BISTRO      CIUDAD DE MEX,,1305.25,,2026-01.csv,credit,
2026-01-05,AMAZON MX MARKETPLACE*A MEXICO CITY,,749.00,,2026-01.csv,credit,
2026-01-05,TAQ LA OCHENTA Y NUEVE  CIUDAD DE MEX,,379.50,,2026-01.csv,credit,
2026-01-05,Transfer to Karen,Transfer:Karen,800.00,,banregio-2026-01.pdf,debit,
2026-01-05,Transfer to Luci,Transfer:Luci,5000.00,,banregio-2026-01.pdf,debit,
2026-01-05,Transfer to Luci,Transfer:Luci,2400.00,,banregio-2026-01.pdf,debit,
2026-01-06,ETSY.COM - RETROVINTAGE IRELAND,,12338.44,,2026-01.csv,credit,
2026-01-06,RESTAURAT CAMOMILA      CIUDAD DE MEX,,198.00,,2026-01.csv,credit,
2026-01-06,UBER ONE MEMBERSHIP     HTTPS://HELP.UB,,70.00,,2026-01.csv,credit,
2026-01-06,Cafeteria Arabica,Restaurante,83.60,,nubank-credit-2026-01.csv,credit,
2026-01-07,AMAZON MX*AMAZON RETAIL MEXICO CITY,,328.16,,2026-01.csv,credit,
2026-01-07,AMAZON MX*AMAZON RETAIL MEXICO CITY,,2685.65,,2026-01.csv,credit,
2026-01-07,REST TAQUERIAS ORINOCO  CUAUHTEMOC,,259.60,,2026-01.csv,credit,
