Fecha,Fecha de Compra,Descripción,Importe,Monto en moneda extranjera,Tipo de Cambio,Información Adicional,Aparece en su Estado de Cuenta como,Dirección,Población/Provincia,Código postal,País,Referencia
22 Sep 2025,22 Sep 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38,,,RFCCCM010816UK4 /REF101118637380,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,"AV JAVIER BARROS SIERRA 540 TORREII
LOMAS DE SANTA FE
ALVARO OBREGON
MEXICO",,01219,MEXICO,'AT252650004000010321727'
21 Sep 2025,21 Sep 2025,*PET POINT              CUAUHTEMOC,1260.00,,,RFCFDM020722442 /REF73793215264537521702,*PET POINT              CUAUHTEMOC,"FRONTERA 175
CUAUHTEMOC",,06700,MEXICO,'AT252640004000010306361'
21 Sep 2025,21 Sep 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,179.10,,,RFCANE140618P37 /REF2HPxPRyqpkYFyeASeNTq,AMAZON MX MARKETPLACE*A MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT252640004000010301631'
21 Sep 2025,22 Sep 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,415.24,,,RFCANE140618P37 /REF1iLamFGbqO9WveboISU5,AMAZON MX MARKETPLACE*A MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT252650004000010304353'
21 Sep 2025,22 Sep 2025,MERCADOPAGO*MISEENPRINT Benito ju?rez,4325.00,,,RFCMAG2105031W3 /REF127035771514,MERCADOPAGO*MISEENPRINT Benito ju?rez,"AVENIDA CUAHUTEMOC 828
BENITO JUAREZ",,03020,MEXICO,'AT252650004000010313282'
21 Sep 2025,21 Sep 2025,REST SUCURSAL ALFIL     CUAUHTEMOC,1578.50,,,RFCBLI120726UF6 /REF8V9Y49KDFX8F,REST SUCURSAL ALFIL     CUAUHTEMOC,"AVENIDA SONORA 57
CUAUHTEMOC",,06700,MEXICO,'AT252640004000010308123'
21 Sep 2025,21 Sep 2025,SPOTIFY MX              MEXICO,139.00,,,,SPOTIFY MX              MEXICO,"""4TH FLOOR, 25 ARGYLL STREET""
LONDON",,W1F 7TU,UNITED KINGDOM,'AT252640004000010315454'
21 Sep 2025,22 Sep 2025,UBER EATS               HTTPS://HELP.UB,40.00,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT252650004000010320156'
21 Sep 2025,21 Sep 2025,UBER EATS               HTTPS://HELP.UB,1382.85,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT252640004000010291857'
20 Sep 2025,21 Sep 2025,DELIRIO                 MEXICO,460.00,,,RFCDMP091217MG3 /REF001989,DELIRIO                 MEXICO,"MONTERREY 116
ROMA NORTE
CUAUHTEMOC
MEXICO",,06700,MEXICO,'AT252640004000010309450'
