Fecha,Fecha de Compra,Descripción,Importe,Monto en moneda extranjera,Tipo de Cambio,Información Adicional,Aparece en su Estado de Cuenta como,Dirección,Población/Provincia,Código postal,País,Referencia
22 Nov 2025,22 Nov 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.37,,,RFCCCM010816UK4 /REF101282464090,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,"AV JAVIER BARROS SIERRA 540 TORREII
LOMAS DE SANTA FE
ALVARO OBREGON
MEXICO",,01219,MEXICO,'AT253260004000010342791'
22 Nov 2025,22 Nov 2025,CUOTA ANUAL MENSUALIDAD 01 DE 03,2774.47,,,,CUOTA ANUAL MENSUALIDAD 01 DE 03,,,,,'10000000011122999699900'
22 Nov 2025,22 Nov 2025,HAVANNA MACRO           CIUDAD AUTONOMA,1609.14,"120.000,00 ARS",,,HAVANNA MACRO           CIUDAD AUTONOMA,"HUMBOLDT 1695
CIUDAD AUTONOMA DE BUENOS AIRES",,C1414CTO,ARGENTINA,'AT253260004000010357429'
22 Nov 2025,22 Nov 2025,IVA APLICABLE,443.92,,,,IVA APLICABLE,,,,,'10000000011122999699900'
22 Nov 2025,22 Nov 2025,MERPAGO*BLUECATERING    Tres de febre,616.79,"46.000,00 ARS",,,MERPAGO*BLUECATERING    Tres de febre,"SAN MARTINSAN MARTIN
CIUDAD AUTONOMA DE BUENOS AIRES",,1004,ARGENTINA,'AT253260004000010337243'
22 Nov 2025,22 Nov 2025,MERPAGO*DULCECHARLOTTE  Palermo,408.60,"30.475,00 ARS",,,MERPAGO*DULCECHARLOTTE  Palermo,"BONPLAND 1903
PALERMO",,1414,ARGENTINA,'AT253260004000010337242'
22 Nov 2025,22 Nov 2025,MERPAGO*RFLIBROS        Palermo,268.22,"20.000,00 ARS",,,MERPAGO*RFLIBROS        Palermo,"SANTA FE 4200
PALERMO",,1425,ARGENTINA,'AT253260004000010337244'
22 Nov 2025,22 Nov 2025,MERPAGO*RFLIBROS        Palermo,737.41,"55.000,00 ARS",,,MERPAGO*RFLIBROS        Palermo,"SANTA FE 4200
PALERMO",,1425,ARGENTINA,'AT253260004000010337240'
21 Nov 2025,22 Nov 2025,PAYU-UBER 828987        BUENOSAIRES,71.42,"5.320,00 ARS",,,PAYU-UBER 828987        BUENOSAIRES,"RONDEAU 2664
PISO 6
CIUDAD AUTONOMA BUENOS AIRES",,C1262ABH,ARGENTINA,'AT253260004000010336429'
21 Nov 2025,21 Nov 2025,SPOTIFY MX              MEXICO,139.00,,,,SPOTIFY MX              MEXICO,"""4TH FLOOR, 25 ARGYLL STREET""
LONDON",,W1F 7TU,UNITED KINGDOM,'AT253250004000010355367'
20 Nov 2025,20 Nov 2025,MERPAGO*LEBLE           Caba,156.26,"11.500,00 ARS",,,MERPAGO*LEBLE           Caba,"VIRREY ARREDONDO 2306
CABA",,1426,ARGENTINA,'AT253240004000010345306'
20 Nov 2025,21 Nov 2025,PAYU-UBER 828987        BUENOSAIRES,72.18,"5.327,00 ARS",,,PAYU-UBER 828987        BUENOSAIRES,"RONDEAU 2664
PISO 6
CIUDAD AUTONOMA BUENOS AIRES",,C1262ABH,ARGENTINA,'AT253250004000010355657'
20 Nov 2025,22 Nov 2025,PAYU-UBER 828987        BUENOSAIRES,113.02,"8.430,00 ARS",,,PAYU-UBER 828987        BUENOSAIRES,"RONDEAU 2664
PISO 6
CIUDAD AUTONOMA BUENOS AIRES",,C1262ABH,ARGENTINA,'AT253260004000010336432'
20 Nov 2025,21 Nov 2025,PAYU-UBER 828987        BUENOSAIRES,149.50,"11.037,00 ARS",,,PAYU-UBER 828987        BUENOSAIRES,"RONDEAU 2664
PISO 6
CIUDAD AUTONOMA BUENOS AIRES",,C1262ABH,ARGENTINA,'AT253250004000010355667'
20 Nov 2025,22 Nov 2025,PAYU-UBER 828987        BUENOSAIRES,243.91,"18.185,00 ARS",,,PAYU-UBER 828987        BUENOSAIRES,"RONDEAU 2664
PISO 6
CIUDAD AUTONOMA BUENOS AIRES",,C1262ABH,ARGENTINA,'AT253260004000010336416'
