Fecha,Fecha de Compra,Descripción,Importe
22 May 2025,22 May 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.37
22 May 2025,22 May 2025,ROTOPLAS SERVICIO       CDMX,369.00
22 May 2025,22 May 2025,UBER TRIP               HTTPS://HELP.UB,146.10
22 May 2025,22 May 2025,UBER TRIP               HTTPS://HELP.UB,174.67
21 May 2025,22 May 2025,ALMANEGRACAFE ROMA      MEXICO,61.60
21 May 2025,21 May 2025,BILLPOCKET*CAFE V 8DF0A CUAUHTEMOC,2000.00
21 May 2025,22 May 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,344.30
21 May 2025,22 May 2025,HAVRE 77                CUAUHTEMOC,4220.00
21 May 2025,21 May 2025,SPOTIFY MX              MEXICO,129.00
20 May 2025,21 May 2025,ALMANEGRACAFE ROMA      MEXICO,56.00
20 May 2025,21 May 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,303.67
20 May 2025,21 May 2025,CHORIPA                 CIUDAD DE MEX,494.45
20 May 2025,22 May 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
20 May 2025,22 May 2025,PAYPAL *HELASPAMEXI HEL 4029357733,6480.00
19 May 2025,19 May 2025,NETFLIX.COM             NETFLIX.COM,497.18
19 May 2025,19 May 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,763.80
19 May 2025,20 May 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,330.00
18 May 2025,20 May 2025,REST GIGI DELICATESSEN  CIUDAD DE MEX,918.50
17 May 2025,17 May 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
17 May 2025,17 May 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,152.58
17 May 2025,17 May 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,216.47
17 May 2025,17 May 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,949.80
17 May 2025,18 May 2025,REST EL JAMIL           CIUDAD DE MEX,1391.50
17 May 2025,18 May 2025,ZTL*ODETTE CUISINE      CDMX,720.00
17 May 2025,18 May 2025,ZTL*RIMESSA VINOS       CIUDAD DE MÉXIC,1660.00
16 May 2025,17 May 2025,ALMANEGRACAFE ROMA      MEXICO,61.60
16 May 2025,17 May 2025,ATARANTADOS             CIUDAD DE MEX,224.40
16 May 2025,17 May 2025,DNH*GODADDY#3749709667  Tempe,6627.29
15 May 2025,16 May 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,330.00
15 May 2025,15 May 2025,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,1149.00
14 May 2025,14 May 2025,ALMANEGRACAFE ROMA      MEXICO,56.00
14 May 2025,15 May 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,385.53
14 May 2025,14 May 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,419.70
14 May 2025,14 May 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,419.70
14 May 2025,14 May 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1583.90
14 May 2025,15 May 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,340.45
13 May 2025,13 May 2025,APPLE.COM/BILL          CUPERTINO,199.00
13 May 2025,14 May 2025,ENO ROMA                MEXICO,462.00
13 May 2025,14 May 2025,FS *PUT.IO              877-327-8914,199.42
13 May 2025,15 May 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
13 May 2025,13 May 2025,LEMUR SHOP              CIUDAD DE MEX,2400.00
13 May 2025,13 May 2025,OPENAI                  SAN FRANCISCO,399.24
13 May 2025,14 May 2025,REST DR PIZZA CONDESA 0 CIUDAD DE MEX,1863.00
13 May 2025,13 May 2025,THE REST IS HISTORY     HAYWARDS HEATH,159.29
