Fecha,Fecha de Compra,Descripción,Importe
22 Jun 2025,22 Jun 2025,ALIM ALQUIMIA DURANGO 0 CIUDAD DE MEX,140.00
22 Jun 2025,22 Jun 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,599.60
22 Jun 2025,22 Jun 2025,UBER TRIP               HTTPS://HELP.UB,150.20
21 Jun 2025,22 Jun 2025,PETCO CONDESA II        CUAUHTEMOC,465.00
21 Jun 2025,21 Jun 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1177.30
21 Jun 2025,21 Jun 2025,REST CHOZA MARKET 00011 CIUDAD DE MEX,1375.00
21 Jun 2025,21 Jun 2025,RESTAURAN CHOZA MARKET  CIUDAD DE MEX,1437.50
21 Jun 2025,21 Jun 2025,SPOTIFY MX              MEXICO,129.00
21 Jun 2025,22 Jun 2025,UBER TRIP               HTTPS://HELP.UB,89.66
21 Jun 2025,22 Jun 2025,WWW.MUBI.COM            NEW YORK,179.00
20 Jun 2025,21 Jun 2025,REST SUCURSAL ALFIL     CUAUHTEMOC,592.25
20 Jun 2025,22 Jun 2025,ROJO BISTROT            CIUDAD DE MEX,2081.50
19 Jun 2025,20 Jun 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,416.90
19 Jun 2025,19 Jun 2025,NETFLIX.COM             LOS GATOS,487.75
18 Jun 2025,19 Jun 2025,ALMANEGRACAFE ROMA      MEXICO,462.00
18 Jun 2025,18 Jun 2025,TAQUERIA ALVARO OBREGO  CIUDAD DE MEX,301.40
17 Jun 2025,18 Jun 2025,LE PAIN QUOTIDIEN ROMA  MEXICO,324.50
16 Jun 2025,17 Jun 2025,ANTHROPIC               SAN FRANCISCO,4854.71
16 Jun 2025,17 Jun 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,2350.00
16 Jun 2025,17 Jun 2025,EL CALIFA ROMA          MEXICO,482.90
16 Jun 2025,16 Jun 2025,UBER EATS               HTTPS://HELP.UB,1134.00
