Fecha,Fecha de Compra,Descripción,Importe
22 Aug 2025,22 Aug 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.37
21 Aug 2025,22 Aug 2025,MERCADOPAGO*ORUJO       Cuauht?moc,540.50
21 Aug 2025,22 Aug 2025,NETPAY*DR GUSTAVO ADOLF Ciudad De Mexic,800.00
21 Aug 2025,21 Aug 2025,SPOTIFY MX              MEXICO,129.00
20 Aug 2025,20 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
20 Aug 2025,21 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,698.15
20 Aug 2025,20 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,820.00
20 Aug 2025,20 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,832.63
20 Aug 2025,20 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,899.40
20 Aug 2025,20 Aug 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,2040.00
20 Aug 2025,21 Aug 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,367.40
20 Aug 2025,21 Aug 2025,WWW.MUBI.COM            NEW YORK,179.00
19 Aug 2025,20 Aug 2025,ANTHROPIC               SAN FRANCISCO,4826.43
19 Aug 2025,19 Aug 2025,NETFLIX.COM             LOS GATOS,482.08
19 Aug 2025,19 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,222.70
18 Aug 2025,19 Aug 2025,ATARANTADOS             CIUDAD DE MEX,368.50
18 Aug 2025,18 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,40.00
18 Aug 2025,18 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,709.70
17 Aug 2025,17 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1276.70
17 Aug 2025,18 Aug 2025,ZTL*ODETTE CUISINE      CDMX,389.00
16 Aug 2025,17 Aug 2025,PETCO CONDESA II        CUAUHTEMOC,189.00
16 Aug 2025,16 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
16 Aug 2025,16 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1356.70
16 Aug 2025,17 Aug 2025,REST SUCURSAL ALFIL     CUAUHTEMOC,3171.13
16 Aug 2025,16 Aug 2025,UBER TRIP               HTTPS://HELP.UB,131.65
15 Aug 2025,15 Aug 2025,"CURSOR, AI POWERED IDE  NEW YORK",-865.01
15 Aug 2025,16 Aug 2025,MERCADOPAGO*BLENDSTATIO Cuauht?moc,187.00
15 Aug 2025,16 Aug 2025,MERCADOPAGO*ORUJO       Cuauht?moc,540.50
15 Aug 2025,15 Aug 2025,ROTOPLAS SERVICIO       CDMX,369.00
14 Aug 2025,14 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,900.00
14 Aug 2025,15 Aug 2025,RESTAURANTE MILOS       CIUDAD DE MEX,1391.50
14 Aug 2025,14 Aug 2025,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,1078.00
13 Aug 2025,13 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,-0.05
13 Aug 2025,13 Aug 2025,APPLE.COM/BILL          CUPERTINO,199.00
13 Aug 2025,14 Aug 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,939.55
13 Aug 2025,14 Aug 2025,THE REST IS HISTORY     HAYWARDS HEATH,155.98
12 Aug 2025,12 Aug 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,2000.00
12 Aug 2025,13 Aug 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,207.00
11 Aug 2025,11 Aug 2025,CURSOR USAGE MID  AUG   NEW YORK,1534.93
11 Aug 2025,12 Aug 2025,FS *PUT.IO              877-327-8914,191.53
11 Aug 2025,11 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,566.70
11 Aug 2025,12 Aug 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,198.00
10 Aug 2025,11 Aug 2025,REST EL TIGRE SILENCIO  CIUDAD DE MEX,442.75
10 Aug 2025,11 Aug 2025,REST PELTRE ROMA        CIUDAD DE MEX,36.00
09 Aug 2025,09 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,259.80
09 Aug 2025,10 Aug 2025,ZTL*ODETTE CUISINE      CDMX,720.00
08 Aug 2025,09 Aug 2025,ALMANEGRA CAFE          CIUDAD DE MEX,333.00
08 Aug 2025,09 Aug 2025,LE PAIN QUOTIDIEN ROMA  MEXICO,323.40
08 Aug 2025,08 Aug 2025,PH ORIGINAL             TLALNEPANTLA,13912.75
08 Aug 2025,08 Aug 2025,PH ORIGINAL             TLALNEPANTLA,25409.17
08 Aug 2025,09 Aug 2025,REST MEROTORO           CIUDAD DE MEX,3048.65
08 Aug 2025,09 Aug 2025,VIVAAEROBUS VIVAAEROBUS MEXICO,1559.53
08 Aug 2025,08 Aug 2025,VIVAAEROBUS VIVAAEROBUS MEXICO,16677.27
07 Aug 2025,08 Aug 2025,ATARANTADOS             CIUDAD DE MEX,368.50
07 Aug 2025,08 Aug 2025,BILLPOCKET*CAFE V 8DF0A CUAUHTEMOC,1500.00
07 Aug 2025,08 Aug 2025,CURSOR USAGE MID  AUG   NEW YORK,1155.64
07 Aug 2025,08 Aug 2025,ESTETICA MOC            CIUDAD DE MEX,510.00
07 Aug 2025,07 Aug 2025,IDEEGEO GROUP LTD       AUCKLAND,516.09
07 Aug 2025,08 Aug 2025,WHITEPAPER.MX           SAN PEDRO GARZA,159.00
06 Aug 2025,07 Aug 2025,BILLPOCKET*CAFE V 15ADD CUAUHTEMOC,2500.00
06 Aug 2025,07 Aug 2025,"CURSOR, AI POWERED IDE  NEW YORK",1147.31
06 Aug 2025,07 Aug 2025,MERCADOPAGO*GONZALITOS  Cuauht?moc,303.60
06 Aug 2025,06 Aug 2025,UBER ONE MEMBERSHIP     HTTPS://HELP.UB,70.00
05 Aug 2025,05 Aug 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,222.30
05 Aug 2025,06 Aug 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,422.40
04 Aug 2025,07 Aug 2025,CGO AUT TELCEL REGION 8 MERIDA,979.39
04 Aug 2025,04 Aug 2025,GRACIAS POR SU PAGO EN LINEA,-49900.00
04 Aug 2025,04 Aug 2025,GRACIAS POR SU PAGO EN LINEA,-49800.00
04 Aug 2025,04 Aug 2025,GRACIAS POR SU PAGO EN LINEA,-49700.00
04 Aug 2025,04 Aug 2025,GRACIAS POR SU PAGO EN LINEA,-49600.00
04 Aug 2025,04 Aug 2025,GRACIAS POR SU PAGO EN LINEA,-21621.82
04 Aug 2025,05 Aug 2025,MERCADOPAGO*ORUJO       Cuauht?moc,540.50
04 Aug 2025,05 Aug 2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,3877.60
03 Aug 2025,03 Aug 2025,AMAZON MX*PRIME VIDEO C MEXICO CITY,129.00
03 Aug 2025,03 Aug 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1346.70
03 Aug 2025,04 Aug 2025,RESTAURANTE TANDOOR 000 CIUDAD DE MEX,1299.50
03 Aug 2025,03 Aug 2025,VIVAAEROBUS VIVAAEROBUS MEXICO,8277.77
02 Aug 2025,02 Aug 2025,UBER EATS               HTTPS://HELP.UB,1486.00
02 Aug 2025,03 Aug 2025,X CORP. PAID FEATURES   BASTROP,155.41
01 Aug 2025,02 Aug 2025,AWS EMEA                AWS.AMAZON.CO,152379.78
01 Aug 2025,02 Aug 2025,MERCADO LIBRE 2         MEXICO,1305.00
01 Aug 2025,01 Aug 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,187.69
31 Jul 2025,01 Aug 2025,ATARANTADOS             CIUDAD DE MEX,324.50
30 Jul 2025,31 Jul 2025,ANTHROPIC               SAN FRANCISCO,4825.87
30 Jul 2025,30 Jul 2025,"GITHUB, INC.            SAN FRANCISCO",270.24
30 Jul 2025,31 Jul 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,345.40
29 Jul 2025,29 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,243.75
29 Jul 2025,29 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,373.86
29 Jul 2025,29 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,699.99
29 Jul 2025,29 Jul 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,2099.00
29 Jul 2025,30 Jul 2025,MERCADOPAGO*MOVEEM      Miguel Hidalg,900.00
29 Jul 2025,29 Jul 2025,REST VIDA EN VERDE      CIUDAD DE MEX,391.00
28 Jul 2025,28 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1392.30
28 Jul 2025,28 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1459.00
28 Jul 2025,29 Jul 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,384.64
28 Jul 2025,29 Jul 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,301.40
27 Jul 2025,28 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,160.53
27 Jul 2025,29 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,750.00
27 Jul 2025,27 Jul 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,1099.00
27 Jul 2025,27 Jul 2025,AUDIBLE*G04ZU1BY3       AMZN.COM/BILL,284.92
