Fecha,Fecha de Compra,Descripción,Importe
10 Jul 2025,11 Jul 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,198.00
09 Jul 2025,10 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,588.00
09 Jul 2025,10 Jul 2025,MERCADOPAGO*GONZALITOS  Cuauht?moc,345.40
08 Jul 2025,09 Jul 2025,ATARANTADOS             CIUDAD DE MEX,711.70
08 Jul 2025,08 Jul 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,202.95
07 Jul 2025,09 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
07 Jul 2025,08 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,6638.98
07 Jul 2025,08 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,7899.00
07 Jul 2025,07 Jul 2025,PALACIODEHIERRO DURANGO MEXICO,4263.25
07 Jul 2025,08 Jul 2025,PORCO ROSSO BBQ ROMA PO CUAUHTEMOC,358.00
07 Jul 2025,07 Jul 2025,WHITEPAPER.MX           SAN PEDRO GARZA,159.00
06 Jul 2025,07 Jul 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,7608.03
06 Jul 2025,06 Jul 2025,GIGI                    MEXICO,1023.50
06 Jul 2025,07 Jul 2025,PALACIODEHIERRO LE BIST MEXICO,1570.90
06 Jul 2025,08 Jul 2025,PETCO CONDESA II        CUAUHTEMOC,780.00
06 Jul 2025,06 Jul 2025,UBER ONE MEMBERSHIP     HTTPS://HELP.UB,70.00
05 Jul 2025,05 Jul 2025,EIGHT SLEEP             NEW YORK,67498.00
05 Jul 2025,06 Jul 2025,MERCADOPAGO*TEMUCOM     CDMX,146.62
05 Jul 2025,06 Jul 2025,MERCADOPAGO*TEMUCOM     CDMX,698.11
05 Jul 2025,05 Jul 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,20.00
05 Jul 2025,05 Jul 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,925.70
05 Jul 2025,05 Jul 2025,UBER TRIP               HTTPS://HELP.UB,83.23
04 Jul 2025,07 Jul 2025,CGO AUT TELCEL REGION 8 MERIDA,771.45
04 Jul 2025,05 Jul 2025,LE PAIN QUOTIDIEN ROMA  MEXICO,323.40
04 Jul 2025,05 Jul 2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,3827.15
04 Jul 2025,05 Jul 2025,REST ARDA               CIUDAD DE MEX,4036.50
03 Jul 2025,03 Jul 2025,AMAZON MX*PRIME VIDEO C MEXICO CITY,129.00
