Fecha,Fecha de Compra,Descripción,Importe,Monto en moneda extranjera,Tipo de Cambio,Información Adicional,Aparece en su Estado de Cuenta como,Dirección,Población/Provincia,Código postal,País,Referencia
22 Oct 2025,22 Oct 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38,,,RFCCCM010816UK4 /REF101195293177,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,"AV JAVIER BARROS SIERRA 540 TORREII
LOMAS DE SANTA FE
ALVARO OBREGON
MEXICO",,01219,MEXICO,'AT252950004000010341229'
21 Oct 2025,21 Oct 2025,ANTHROPIC               SAN FRANCISCO,4730.67,250.00 USD,,,ANTHROPIC               SAN FRANCISCO,"731 SANSOME ST
SAN FRANCISCO
CA",,94111,UNITED STATES,'AT252940004000010313971'
21 Oct 2025,21 Oct 2025,APPLE.COM/BILL          CUPERTINO,816.00,,,,APPLE.COM/BILL          CUPERTINO,"ONE APPLE PARKY WAY
CUPERTINO",,95014,UNITED STATES,'AT252940004000010328154'
21 Oct 2025,22 Oct 2025,OEL*GREEN~RHINO         CUAUHTEMOC,525.00,,,RFCOLI000404TT4 /REFRFXY1RE9TO59,OEL*GREEN~RHINO         CUAUHTEMOC,"TONALA 121
CUAUHTEMOC",,06760,MEXICO,'AT252950004000010352517'
21 Oct 2025,22 Oct 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,401.50,,,RFCBBA830831LJ2 /REFGRJKHB0KPRZD,RESTAURAT CAMOMILA      CIUDAD DE MEX,"C MERIDA 122
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT252950004000010353807'
21 Oct 2025,21 Oct 2025,SPOTIFY MX              MEXICO,139.00,,,,SPOTIFY MX              MEXICO,"""4TH FLOOR, 25 ARGYLL STREET""
LONDON",,W1F 7TU,UNITED KINGDOM,'AT252940004000010337148'
20 Oct 2025,21 Oct 2025,ATARANTADOS             CIUDAD DE MEX,368.50,,,RFCBBA830831LJ2 /REFBDDGTVJNKM0C,ATARANTADOS             CIUDAD DE MEX,"C CORDOBA 113 L2
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT252940004000010336000'
20 Oct 2025,21 Oct 2025,ROAMRESEARCH.COM        OAKLAND,3118.51,165.00 USD,,,ROAMRESEARCH.COM        OAKLAND,"""2035 SUNSET LAKE ROAD, SU""
NEWARK
DE",,19702,UNITED STATES,'AT252940004000010329284'
19 Oct 2025,19 Oct 2025,BILLPOCKET*KOYI SUSHI F MERIDA,1840.00,,,RFCPLA120807BK0 /REF5898942,BILLPOCKET*KOYI SUSHI F MERIDA,"14 NUM. 255 COL. VISTA ALEGRE
MERIDA",,97130,MEXICO,'AT252920004000010308561'
19 Oct 2025,19 Oct 2025,NETFLIX.COM             LOS GATOS,472.40,24.99 USD,,,NETFLIX.COM             LOS GATOS,"121 ALBRIGHT WAY
LOS GATOS
CA
MILPITAS",,95032-1815,UNITED STATES,'AT252920004000010310341'
19 Oct 2025,19 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,40.00,,,RFCTRA150604TW1 /REFc6f4863f-e1fe-4461-8,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252920004000010308290'
19 Oct 2025,19 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,717.70,,,RFCTRA150604TW1 /REFf19d3b6a-6668-4284-9,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252920004000010308053'
19 Oct 2025,20 Oct 2025,WWW.MUBI.COM            NEW YORK,179.00,,,,WWW.MUBI.COM            NEW YORK,"215 PARK AVENUE SOUTH FL 12
NEW YORK",,10003,UNITED STATES,'AT252930014000010315205'
18 Oct 2025,18 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1723.70,,,RFCTRA150604TW1 /REFe1fb6f30-3eb1-4e9e-8,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252910009000010338668'
18 Oct 2025,19 Oct 2025,REST SUCURSAL ALFIL     CUAUHTEMOC,1811.25,,,RFCBLI120726UF6 /REF8GUS3Y9ZALDC,REST SUCURSAL ALFIL     CUAUHTEMOC,"AVENIDA SONORA 57
CUAUHTEMOC",,06700,MEXICO,'AT252920004000010314895'
17 Oct 2025,17 Oct 2025,AEROMEXICO 8697744      NUEVO PORTAL,8442.84,,,"CARGO 01 DE 12
RFCAME880912I89 /REFHXFNPX",AEROMEXICO 8697744      NUEVO PORTAL,"AV PASEO DE LA REFORMA 243 25
CUAUHTEMOC
CUAUHTEMOC
MEXICO",,06500,MEXICO,'AT252900104000010308683'
17 Oct 2025,17 Oct 2025,AIRBNB * HMT4H23ABN     LONDON,98264.49,,,,AIRBNB * HMT4H23ABN     LONDON,"40 COMPTON STREET
LONDON",,EC1V 0BD,UNITED KINGDOM,'AT252900004000010309467'
17 Oct 2025,18 Oct 2025,REST TAQUERIAS ORINOCO  CUAUHTEMOC,211.60,,,RFCBLI120726UF6 /REFYG3AY4RP1IQN,REST TAQUERIAS ORINOCO  CUAUHTEMOC,"AV. ALVARO OBREGON 100
CUAUHTEMOC",,06700,MEXICO,'AT252910009000010327661'
16 Oct 2025,17 Oct 2025,REST CHORIPA            CIUDAD DE MEX,500.50,,,RFCBBA830831LJ2 /REF001WSQZMMVAU,REST CHORIPA            CIUDAD DE MEX,"C ZACATECAS 143
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT252900004000010311126'
16 Oct 2025,17 Oct 2025,UBER TRIP               HTTPS://HELP.UB,213.48,,,,UBER TRIP               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT252890004000010359313'
16 Oct 2025,17 Oct 2025,UBER TRIP               HTTPS://HELP.UB,251.85,,,,UBER TRIP               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT252890004000010358861'
15 Oct 2025,17 Oct 2025,ATARANTADOS             CIUDAD DE MEX,368.50,,,RFCBBA830831LJ2 /REFDN4MEOJMLJAF,ATARANTADOS             CIUDAD DE MEX,"C CORDOBA 113 L2
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT252890004000010346188'
15 Oct 2025,15 Oct 2025,ROTOPLAS SERVICIO       CDMX,369.00,,,RFCOPE130906HN4 /REFDMGRC3X6HXZS,ROTOPLAS SERVICIO       CDMX,"5 DE FEBRERO 1351 - 202
SEQUOIA 202
FELIPE CARRILLO PUERTO
QUERETARO",,76138,MEXICO,'AT252880004000010324192'
14 Oct 2025,15 Oct 2025,REST POLLOS PONCHO 0001 CIUDAD DE MEX,343.20,,,RFCEMS0912039N7,REST POLLOS PONCHO 0001 CIUDAD DE MEX,"ALVARO OBREGON 118 L A
ROMA NORTE
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT252880004000010349536'
13 Oct 2025,13 Oct 2025,23ANDME                 SUNNYVALE,1306.71,69.00 USD,,,23ANDME                 SUNNYVALE,"899 W EVELYN AVE
MOUNTAIN VIEW
CA",,94041,UNITED STATES,'AT252860004000010323008'
13 Oct 2025,13 Oct 2025,APPLE.COM/BILL          CUPERTINO,249.00,,,,APPLE.COM/BILL          CUPERTINO,"ONE APPLE PARKY WAY
CUPERTINO",,95014,UNITED STATES,'AT252860004000010320892'
13 Oct 2025,15 Oct 2025,RESTAURAT CAMOMILA      CIUDAD DE MEX,354.20,,,RFCBBA830831LJ2 /REF0I6FMGXRY1D8,RESTAURAT CAMOMILA      CIUDAD DE MEX,"C MERIDA 122
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT252880004000010322762'
13 Oct 2025,14 Oct 2025,THE REST IS HISTORY     HAYWARDS HEATH,151.68,6.00 GBP,,,THE REST IS HISTORY     HAYWARDS HEATH,"""21 PERRYMOUNT ROAD, 3RD FLOOR""
HAYWARDS HEATH",,RH16,UNITED KINGDOM,'AT252870004000010310339'
12 Oct 2025,13 Oct 2025,APPLE.COM/BILL          CUPERTINO,249.00,,,,APPLE.COM/BILL          CUPERTINO,"ONE APPLE PARKY WAY
CUPERTINO",,95014,UNITED STATES,'AT252860004000010320431'
12 Oct 2025,12 Oct 2025,BILLPOCKET*KOYI SUSHI F MERIDA,2938.25,,,RFCPLA120807BK0 /REF5865234,BILLPOCKET*KOYI SUSHI F MERIDA,"14 NUM. 255 COL. VISTA ALEGRE
MERIDA",,97130,MEXICO,'AT252850004000010309866'
12 Oct 2025,12 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00,,,RFCTRA150604TW1 /REF360c4e2f-94c2-40c4-a,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252850004000010309146'
12 Oct 2025,12 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1160.70,,,RFCTRA150604TW1 /REF94963395-0339-45d0-a,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252850004000010309100'
12 Oct 2025,13 Oct 2025,SP NOMAD GOODS          SANTA BARBARA,4359.00,,,,SP NOMAD GOODS          SANTA BARBARA,"""1187 COAST VILLAGE ROAD, SUITE 638""
SANTA BARBARA",,93108,UNITED STATES,'AT252860004000010299768'
11 Oct 2025,12 Oct 2025,APPLE.COM/BILL          CUPERTINO,318.00,,,,APPLE.COM/BILL          CUPERTINO,"ONE APPLE PARKY WAY
CUPERTINO",,95014,UNITED STATES,'AT252850004000010323740'
11 Oct 2025,11 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00,,,RFCTRA150604TW1 /REF7770fc3f-0776-4e0a-8,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252840004000010343843'
11 Oct 2025,11 Oct 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,397.70,,,RFCTRA150604TW1 /REF108b1dd2-b240-4dca-b,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT252840004000010343442'
