Fecha,Fecha de Compra,Descripción,Importe,Monto en moneda extranjera,Tipo de Cambio,Información Adicional,Aparece en su Estado de Cuenta como,Dirección,Población/Provincia,Código postal,País,Referencia
22 Dec 2025,22 Dec 2025,AMAZON MX*EBOOKS MX     MEXICO CITY,201.00,,,RFCAMS130507JI3 /REF3ElGTmW3tDrbvAArZ6Tq,AMAZON MX*EBOOKS MX     MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT253560004000010340889'
22 Dec 2025,22 Dec 2025,AMAZON MX*EBOOKS MX     MEXICO CITY,279.00,,,RFCAMS130507JI3 /REF1n03pXeKxLUXZ4oRWdzM,AMAZON MX*EBOOKS MX     MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT253560004000010340891'
22 Dec 2025,22 Dec 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38,,,RFCCCM010816UK4 /REF101384263592,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,"AV JAVIER BARROS SIERRA 540 TORREII
LOMAS DE SANTA FE
ALVARO OBREGON
MEXICO",,01219,MEXICO,'AT253560004000010356153'
22 Dec 2025,22 Dec 2025,CUOTA ANUAL MENSUALIDAD 02 DE 03,2774.47,,,,CUOTA ANUAL MENSUALIDAD 02 DE 03,,,,,'10000000011122999699910'
22 Dec 2025,22 Dec 2025,IVA APLICABLE,443.92,,,,IVA APLICABLE,,,,,'10000000011122999699910'
21 Dec 2025,21 Dec 2025,NETPAY*CIEN FUEGOS II C Yucatan,1150.00,,,RFCNPA0803124V6 /REF20239166,NETPAY*CIEN FUEGOS II C Yucatan,"CALLE 11 356
MERIDA",,97000,MEXICO,'AT253550004000010333319'
21 Dec 2025,21 Dec 2025,SPOTIFY MX              MEXICO,139.00,,,,SPOTIFY MX              MEXICO,"""4TH FLOOR, 25 ARGYLL STREET""
LONDON",,W1F 7TU,UNITED KINGDOM,'AT253550004000010321125'
20 Dec 2025,20 Dec 2025,ANTHROPIC               SAN FRANCISCO,4623.17,250.00 USD,,,ANTHROPIC               SAN FRANCISCO,"731 SANSOME ST
SAN FRANCISCO
CA",,94111,UNITED STATES,'AT253540004000010325891'
20 Dec 2025,20 Dec 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00,,,RFCTRA150604TW1 /REF0b7f7daa-93ba-4d91-9,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT253540004000010345773'
20 Dec 2025,20 Dec 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,756.70,,,RFCTRA150604TW1 /REF9a11453e-597e-42fe-9,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT253540004000010345560'
20 Dec 2025,20 Dec 2025,UBER TRIP               HTTPS://HELP.UB,541.62,,,,UBER TRIP               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT253540004000010348591'
19 Dec 2025,19 Dec 2025,NETFLIX.COM             NETFLIX.COM,462.12,24.99 USD,,,NETFLIX.COM             NETFLIX.COM,"121 ALBRIGHT WAY
LOS GATOS
CA
MILPITAS",,95032-1815,UNITED STATES,'AT253530004000010392173'
19 Dec 2025,20 Dec 2025,PIZZA ROMA              CIUDAD DE MEX,3191.25,,,RFCBBA830831LJ2 /REFFLROYMXUUKKU,PIZZA ROMA              CIUDAD DE MEX,"C MEDELLIN 40 4
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT253540004000010344526'
18 Dec 2025,18 Dec 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,820.00,,,RFCANE140618P37 /REF37KasUV3YQixeLEmwwpY,AMAZON MX*AMAZON RETAIL MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT253520004000010441791'
